ID	Year	Semester	BEFORE taking this class, which of the following did you feel comfortable with?	AFTER finishing this course, which of the following skills do you feel comfortable with?	AFTER finishing this course, which of the following skills do you feel least comfortable with?	What did you think about the format of the R and Python programming tutorials (i.e. do part in-person, finish at home, occasional flipped lectures/recorded lectures)? Let us know if you have any other suggestions!	Do you feel that the mid-semester projects were a valuable experience for you? Do you have any suggestions for how it could be improved?	Do you feel that the final project was a valuable experience for you? Do you have any suggestions for how it could be improved?	Describe the most valuable aspect(s) of this course.	Describe the least valuable aspect(s) of this course.	BEFORE taking this class, were you in a lab?	If you answered No above, how prepared did you feel about joining a lab BEFORE this class?	AFTER completing this course, are you in a lab now?	How prepared do you feel about joining a lab AFTER this class?	If you joined a lab since starting the course, did your experience in this class impact your search at all? If you were already in a lab before taking this course, did you still find this class useful and would you have liked to have taken the class before beginning in your lab? If you are not in a lab yet, how did this class impact your perception of computational research?	Do you have any suggestions for how next semester's instructors can improve this class? (In terms of content, teaching style, pace, accessibility, etc.)	Are there any topics that you would have liked to see in more detail? (i.e. biological background, machine learning, stats, high-performance cluster, etc.)	Any other questions, comments, or concerns about this course?
79	2021	Spring	NA	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	Tutorials on different R and Python functions as well as computational techniques and concepts.	NA	NA	NA	NA	4	NA	NA	Machine Learning	NA
80	2021	Spring	NA	Command Line / Github	NA	NA	NA	NA	The constant support and very approachable nature	the workload was tough and i found it hard to keep up	NA	NA	NA	3	NA	perhaps, more focus on time with tutorials in the meetings and showing via screen share what is important and what to focus on when coding. , maybe more breakout room coding activities. those were very helpful	more statistical analysis	thank you guys so much. I can see how much work this group must have been for you two to organize and I'd be very happy if I could be half as good as you guys one day
81	2021	Spring	NA	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	The weekly meetings where we can learn and practice new skills under Kate and Terence's guidance was the most helpful.	NA	NA	NA	NA	4	NA	Maybe having one mandatory meeting a week, and another optional meeting/lecture to cover more specific skills	It would be nice to have the space to discuss broader topics in computational biology/scientific community in general (like the one discussion we had about false discovery rates/p-hacking!)	Great job you guys!! Thank you so much for all the hard work you've done for us this semester :')
82	2021	Spring	NA	Command Line / Github	NA	NA	NA	NA	The overall exposure to different languages. Throughout this group, we have learned how to navigate Terminal using several bash commands, how to use R and create different forms to visually represent data, and even elementary Python. 	The accelerated pace of Python. I understand that this felt so rushed due to the lack of time that we had with learning Python but I would say that as a beginner to the language, I didn't learn that much other than the bare basics. 	NA	NA	NA	3	NA	Maybe once things are back to normal, we can host events that allow us to know each other a bit more. We can eat, hang out, play games, etc., I think that it would be key to focus a little bit more on Python since this language is used in several research labs making it more applicable in more fields of research. 	Queuing jobs! I know that especially for research with larger pieces of data, local machines will struggle to run this much code and so using the cluster will be much more advantageous. 	This has been an awesome experience and to be honest, it was an accident that I joined this group but I'm glad that it happened! Although I was lost for the most part and felt overwhelmed, I still learned so much and hope to continue learning more as I continue my journey in QBIO. Thank you so much Kate and Terence! 
83	2021	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	I think the student aspect of the group has been super helpful, I'm very comfortable with asking for help. I've also learned so much in this group that I can actually apply to my career in the future, which I'm eternally grateful for.	Not sure.	NA	NA	NA	4	NA	None, I think other than pacing everything was perfectly fine., Not really, other than maybe extending the time frame just to slow down the pace a bit? Like perhaps extending it across two semesters. But I would imagine that's hard to do.	Just some other types of analysis and plots, nothing specific though.	Thank you for running a great student group this semester!!!
84	2021	Spring	NA	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	Knowledge of how to code and apply skills to industry. Teamwork. Scientific paper writing	Pretty much everything had a strong benefit. More time on python would have been a bit better but it was also more important to get through R content so I understand why it was not covered as much	NA	NA	NA	5	NA	Market the hell out of it if it continues. This was one of the most beneficial experiences I have had since arriving at USC and I think everyone in QBIO should get this low-stakes high-reward experience., At first it might have been a bit tough for the people with more coding experience to carry along the people without much, so maybe an optional office hours session focusing on a new skill each week for people with less experience would help get the inexperienced folks up to speed a bit faster	I think everything was great in the context in which we were taught. Seemed to me like everything we hit upon was important and not too difficult for everyone to get up to speed on	I think if the summer thing were to happen it would be fun to chat about current research people are doing if that is what people have going on so we can bring in some more ideas about what is going on outside of the group.
85	2021	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.),	NA	NA	NA	NA	being able to step into computational research with a lot of support from Kate and Terence as well as others in the group, getting to know people in the qbio program, learning important technical skills, improving communication skills (whether that be through frequent presentations or communicating with group members) – all in all, I feel like I learned so much in this group that will help me in and out of qbio research! It has been a really rewarding experience	there is a little bit of a learning curve that comes with computational stuff, even in a more structured setting. the tutorials and lectures at the beginning of the semester felt disjointed at times	NA	NA	NA	4	NA	As this is a group run for and by students, I think it'd be beneficial to have a few breaks built in to the schedule, so we'd don't feel so burnt-out. I also would have preferred either ending the group a few weeks before the end of the semester, so that the group project didn't coincide with finals, or even extending the group a little after finals, to have more time to work on the project without feeling overwhelmed., It would be useful to start a folder or document similar to the dictionary doc in the drive just with code that we used frequently (like rsync, git pull/push, maybe even the starter code for the TCGA files we used). This would be easier to refer to than going back and finding specific slides from weeks ago	maybe introducing statistics concepts that would be relevant for interpreting our figures and learning a little more about the biology of breast cancer/putting our work into a broader context	Thank you both so much for a great semester! I truly appreciate all the hard work you've put into making this group so beneficial for us and for helping build community in the qbio program virtually :) I'm gonna miss you guys next year!
86	2021	Spring	NA	NA	NA	NA	NA	NA	everything	NA	NA	NA	NA	2	NA	NA	Machine Learning 	NA
63	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.)	Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	It worked well!	very very valuable experience... maybe make it a bit more formal ish to add to resume?	Final project was nice and ellison institute was so fun i felt like i got a lot closer with my group	learning R syntax	early morning meetings and also having too many speakers about getting involved with research.	NA	NA	NA	NA	im much more confident and excited to tackle new projects that involve using R and python	More cluster... less speakers and more diving into other topics. even if you barely break the surface of a new topic, id love to be introduced to new things and areas to explore on my own	Cluster... python...machine learning... MORE BIO!!! we knew very little when we were being interrogated at the ellison during presentations	NA
64	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	None	It worked well!	Yes	Yes 	Tangible skills. 	Not delving deep enough into concepts. 	NA	NA	NA	NA	I’m in a lab. 	I think this class is great. 	Machine Learning	NA
65	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	Yes, it was a great way to incorporate everything we learned into a project.	The final project was a valuable experience for me. I just prefer having individual projects rather than group projects. 	I really appreciated how we learned how to use tools for research in class. I was really nervous getting into research because I didn't want to be thrown in. I think now I will be more confident when applying to research positions. 	The review lectures at the end of the semester did not seem very needed. I would have preferred to have time in class to work on final projects instead as all my groups members would be present during that time. 	NA	NA	NA	NA	I am more excited and more confident about joining a lab. I was able to land a position during this semester because of it. 	NA	high performance cluster	NA
66	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	It worked well!	Yes	Yes	Collaborating with other QBIO students, learning valuable technical skills	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	It worked well!	Yes	Yes, NA	Learning to apply coding to biological data and learning how to interpret outputs	NA	NA	NA	NA	NA	Already in lab	More time to walk through the scientific application tutorials	Machine learning	NA
68	2022	Spring	NA	Command Line / Github	Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	Prefer to have a formal introduction of everything in-person, then do practice questions at home.	Yes it was helpful as it confirmed the code	Yes it was helpful especially having group members to help me 	Real life research coding experience	none	NA	NA	NA	NA	I am now looking for labs that have computational components	NA	NA	NA
69	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	It worked well!	The mid-semester project was a pretty valuable experience. 	Yes, it was good practice for the skills we learned, especially presentation-wise. 	Learning basic non-C++ programming skills	NA	NA	NA	NA	NA	NA	HWs felt a little long, but not sure if there's anything that can change because at the end of the day practice is the best way to get better at coding. 	Stats, ML, HPC	NA
70	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	It worked well!, I feel like near the end of the class we really got to do more examples together and that drastically improved my understanding! 	Actually yes! I like that we got to choose what to explore on our own and I feel like I really understood the practical use of R when using it to answer a specific question. I like that we were also given some to time work on it in class which made it convenient to ask questions. 	I do! It taught me a lot about proper time management and how to work efficiently in a group. I also learned some problem solving skills when it came to working around the issues we faced based on some lack of data. 	This was unlike any other course I’ve taken at usc, especially stem related courses. The whole program was really designed for us to succeed and this was shown through the many our Kate, Nicole and David put in to helping us outside of class. I feel like this course was very well paced. Even when I felt confused I never felt like I was hopelessly falling behind. We also did so many practice examples that made me understand why we were learning certain things in class and the mid semester/final project really tied all we had learned together in a more real world application. I also know there is no way I would have figured out how to use GitHub on my own. I also liked that we got an introduction to python and I also feel like the transition from R to python was really smooth and actually made sense. 	I can’t really say anything wasn’t valuable. Even though I didn’t enjoy the python aspect of the class too much, I still understand how useful it is and I know this introduction to python will definitely help with any future python classes I take. 	NA	NA	NA	NA	I am not dreading joining a lab nearly as I was before taking this class. I never really understood that lab could cover many different aspects and doesn’t have to be taking bio samples all day. I also think that I won’t fail miserably anymore thanks to some skills I learned in class. 	I made comments in the last survey about doing more in-class examples and I definitely saw that this was implemented in the second half of our class. That alone made such a huge impact for me and it helped to not suffer in silence at home when doing the homework. I would say that I came out with a much better understanding of R than python. This could just be because I was more tired as the end of semester came close so I wasn’t paying as much attention. But I think a bit more time could be spent on the python part of the class when compared to R. 	High performance cluster was actually pretty interesting to me. I was a bit confused on how to read certain charts but I do think they tell you a lot about genes and are very useful for drawing conclusions. I would have liked to spend more time understanding this. 	NA
71	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.)	Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	Yes I like it	I think it is valuable but I do not think that group work is a good idea especially when writing the scientific paper	Learn R	Group working	NA	NA	NA	NA	Learn how to better use r	NA	NA	Kate you actually saved me with this class. I was very worried going into it because I used to despise all things coding. But I have come out with a much better understanding of the real world uses of R and python, improved my presentation skills, learned how to actually read a scientific paper and much more. Now that I’ve had a positive experience with a class that involves coding, I’m seeing that it’s not all bad and I’m excited to put what I’ve learned into research. 
72	2022	Spring	NA	Command Line / Github, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.)	Prefer to have a formal introduction of everything in-person, then do practice questions at home.	Yes	Yes	I learned skills that are directly applicable to research I’m doing right now.	The Python aspect felt a little bit rushed and I didn’t fully grasp what was being taugbt	NA	NA	NA	NA	NA	More time on Python	NA	NA
S8	2023	Fall	Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	Yes	Yes. I think the practice presentations should be a week before the final presentation so groups can have a final result at least a week before they present them.	Everything ? I think this course was the most useful out of all the courses I took this year.	NA	No	1	No	5	I think taking this class made me feel more prepared to pursue labs and made me feel more qualified. If not for this class, I would definitely feel more impostor syndrome, and my lack of confidence likely would have prevented me from applying to labs.	NA	NA	NA
S13	2023	Fall	Presentation Skills	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	I think the midsemester projects while long really showed the importance of how to write your code and present and explain. I think without the project the methods and its explanation would have been difficult to write. I also believe that you were not lost due to all the homework resources and aid you got for these projects 	I think this was my first official project that showed the importance and the difficult nature that is research. It was hugely rewarding to see the end result for all the work spent and I think it showed the importance of working with people in a project you all are passionate in . I think to improve could be a very vague example to just show the structure but honestly that isn’t even needed as you showed everything clearly 	Learning ways to read papers and use basic code for R and Python	Nothing !!	No	1	No	5	This class taught me to venture into areas I found interesting while still wanting to learn. Computational research is a lot more complex and just as frustrating since some results don’t work! However with different results can help you determine what doesn’t work so the search to to the truth gets closer!	Everything was great I think it was just hard with all the assignments as they took me longer than the 6 hour requirement 	Machine learning!!	NA
S10	2023	Fall	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	I believe they helped me develop my coding skills quite a bit, the only thing I would maybe suggest is more in-class coding because when it did happen, I felt it was done really well and it was super beneficial.	Yes, it was really interesting to study and learn a lot about something I knew basically nothing about. I'm not sure if I have any suggestions to improve it because I feel it was straightforward and organized well by the instructors.	Using the terminal and scientific applications of R and python	Some could argue that the amount of work is worth more than 2 units, but it depends on how valuable they treat the skills they learn.	No	1	No	5	This class made me more confident in joining a lab and having skills and communication ready so I don't get nervous or blindsided by anything. 	Slightly slower pace when breaking down coding exercises, but keep the teaching as it was this semester.	More stats and machine learning would be more interesting because I found those topics to keep me the most engaged and it felt very valuable to understand those concepts.	Nope!
S1	2023	Fall	Presentation Skills, Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	I believe they were both very good experiences. It was very nice that the Python review was not as big of a project as the R review. 	Yes! I think meeting with the instructors more than just once at the beginning could be helpful, though I understand that it's the students' responsibility to make sure they're on track.	all coding and presentation skills were very valuable, as well as connections to other QBIO students	NA	No	1	No	3	I'm more interested in computational research, and it feels a little more manageable now. It used to seem very scary because I felt I could never have "enough" experience with it.	I really enjoyed the video lectures and flipped lecture style. I feel that I understand R a little more than python because of it?	NA	NA
S55	2023	Fall	Command Line / GitHub, Basic Python (i.e. syntax, documentation, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.)	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	They were a great way of summarizing everything I had learned in the unit, and also served as a valuable resource to refer back to when I was working on the final project.  	I'm grateful to have a project that I feel comfortable talking about in the future as I pursue different research and internship opportunities. I definitely liked that we had the ability to choose our research direction because it forced us to be creative with what we wanted to do with our project; it served as a good capstone for everything we learned in the course. I also loved working with my peers; I learned a lot from their experience and had the opportunity early on to meet others in my major.   I think it would've helped if we had some sort of example (maybe last year's projects?) just to better understand the expectations as well as see how previous students progressed through the research process. 	Though I knew in theory how computer science was applied to biology, I think that being able to do it myself really showed me all the different things we can learn from just one dataset. I feel more comfortable understanding what kind of work in research can be done; if I was to read a research paper, I feel like I could come up with my own ideas about possible "next steps."	I genuinely don't think that there was anything that was "least valuable"; I learned a lot from each class. 	No	2	No	5	I'm not in a lab yet, but I feel more comfortable with the idea of reaching out to professors to  discuss research I'd be interested in. Because of the experience I've gotten, I feel like I wouldn't have to overcome as steep of a learning curve. If / when I join a lab, I think I could pose my own research question and plan out a project that I was interested in.  	I think it would have been nice to have more time on the final project. Maybe it could be introduced a bit earlier during the course in conjunction with the Python unit, just so we have a bit more time to do some thinking about what we would want our project to look like. 	I think I would like to see more of machine learning; it was a topic I was already interested in prior to joining the class, but there didn't seem to be enough time to do more with it. 	NA
S5	2023	Fall	Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	Yes they were valuable, I just wish we had more time to do the coding portions in class since most of my work was done in office hours anyways. 	Yes, no other suggestions 	intro to programming in a supportive environment, great gateway to QBIO	NA	No	2	No	4	I'm going to be applying to Sanabria lab and other comp labs	pace slower at python I got lost here	more detail for machine learning and predictive models	NA
S4	2023	Fall	Basic R (i.e. syntax, documentation, etc.), Basic Python (i.e. syntax, documentation, etc.), Reading and Comprehending Scientific Literature	Command Line / GitHub, Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Machine Learning (sklearn, classification, dimensionality reduction, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	Prefer to have a video lecture to introduce everything at home, then do practice questions in class (flipped lecture style)	The mid-semester projects were valuable. I don’t have suggestions.	The final project was a good application, but perhaps it could be introduced throughout the course and students can expand on their project after particular lessons (intro to CPTAC, intro to ML) to better facilitate a longitudinal research design rather than a precipitated one. 	The most valuable aspects are learning crucial coding skills for bioinformatics analysis as well as being able to apply biological data into our analyses. 	The least valuable aspect is nothing really.	Yes	3	Yes	4	I would’ve definitely take this class before going into my lab as it definitely help bolster my coding skills. 	NA	NA	NA
S2	2023	Fall	Basic Python (i.e. syntax, documentation, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	Basic R (i.e. syntax, documentation, etc.), Scientific R (i.e. SummarizedExperiments, MAF files, plotting, maftools, DESeq2, etc.), Basic Python (i.e. syntax, documentation, etc.), Scientific Python (i.e. numpy, pandas, matplotlib, seaborn, etc.), Presentation Skills, Reading and Comprehending Scientific Literature	NA	It worked well!	Very valuable. Maybe make it a little less time intensive or more workshop time in class (since it was a lot of time spent on out-of-class assignments for a 2 credit class) 	Very valuable for future lab jobs, gave me more confidence	Very practically-oriented, great skills to have	None	No	3	No	5	Computational research is very complex but rewarding.	NA	I think it would be hard to fit more content into the course format as it is, unless it is turned into an expanded 4 credit version or an advanced 2 credit additional option.	Awesome job teaching the course! Thank you for all your help!
